"time","well","OD600","G","R","column","dilution","species","condition"
1,"C8",0.2609,4719,16602,8,"10^-3","Bs","Bs 10^-3"
1,"C9",0.2269,4704,15729,9,"10^-4","Bs","Bs 10^-4"
1,"C10",0.2308,4744,16139,10,"10^-5","Bs","Bs 10^-5"
1,"C11",0.2328,4776,15888,11,"10^-6","Bs","Bs 10^-6"
1,"C12",0.23,4751,16052,12,"10^-7","Bs","Bs 10^-7"
1,"D1",0.2367,4929,16011,1,"10^-1","Pp","Pp 10^-1"
1,"D2",0.2265,4789,16197,2,"10^-2","Pp","Pp 10^-2"
1,"D3",0.2292,4769,16050,3,"10^-3","Pp","Pp 10^-3"
1,"D4",0.2925,4733,15955,4,"10^-4","Pp","Pp 10^-4"
1,"D5",0.2291,4745,16159,5,"10^-5","Pp","Pp 10^-5"
1,"D6",0.2291,4813,16137,6,"10^-6","Pp","Pp 10^-6"
1,"D7",0.3356,4167,14185,7,"10^-2","Bs","Bs 10^-2"
1,"D8",0.262,4757,16659,8,"10^-3","Bs","Bs 10^-3"
1,"D9",0.226,4752,15877,9,"10^-4","Bs","Bs 10^-4"
1,"D10",0.2274,4743,16039,10,"10^-5","Bs","Bs 10^-5"
1,"D11",0.2251,4729,15904,11,"10^-6","Bs","Bs 10^-6"
1,"D12",0.227,4714,15857,12,"10^-7","Bs","Bs 10^-7"
1,"E1",0.2342,4914,15963,1,"10^-1","Pp","Pp 10^-1"
1,"E2",0.2254,4756,16005,2,"10^-2","Pp","Pp 10^-2"
1,"E3",0.2346,4749,15833,3,"10^-3","Pp","Pp 10^-3"
1,"E4",0.2282,4761,16070,4,"10^-4","Pp","Pp 10^-4"
1,"E5",0.2532,4585,15580,5,"10^-5","Pp","Pp 10^-5"
1,"E6",0.2284,4760,16197,6,"10^-6","Pp","Pp 10^-6"
1,"E7",0.2327,4759,16202,7,"10^-2","Bs","Bs 10^-2"
1,"E8",0.2847,4620,16346,8,"10^-3","Bs","Bs 10^-3"
1,"E9",0.3646,4075,14015,9,"10^-4","Bs","Bs 10^-4"
1,"E10",0.4813,3466,11935,10,"10^-5","Bs","Bs 10^-5"
1,"E11",0.2343,4714,15922,11,"10^-6","Bs","Bs 10^-6"
1,"E12",0.2278,4786,16084,12,"10^-7","Bs","Bs 10^-7"
1,"F1",0.2611,4811,15547,1,"10^-1","Pp","Pp 10^-1"
1,"F2",0.2278,4794,16065,2,"10^-2","Pp","Pp 10^-2"
1,"F3",0.2299,4792,16128,3,"10^-3","Pp","Pp 10^-3"
1,"F4",0.2404,4788,16072,4,"10^-4","Pp","Pp 10^-4"
1,"F5",0.2327,4775,16145,5,"10^-5","Pp","Pp 10^-5"
1,"F6",0.2238,4744,15858,6,"10^-6","Pp","Pp 10^-6"
1,"F7",0.2367,4750,16060,7,"10^-2","Bs","Bs 10^-2"
1,"F8",0.2657,4711,16482,8,"10^-3","Bs","Bs 10^-3"
1,"F9",0.2435,4661,15791,9,"10^-4","Bs","Bs 10^-4"
1,"F10",0.4023,3779,13120,10,"10^-5","Bs","Bs 10^-5"
1,"F11",0.5524,3245,11295,11,"10^-6","Bs","Bs 10^-6"
1,"F12",0.2282,4744,15986,12,"10^-7","Bs","Bs 10^-7"
1,"G1",0.2345,4943,16181,1,"10^-1","Pp","Pp 10^-1"
1,"G2",0.2273,4774,16137,2,"10^-2","Pp","Pp 10^-2"
1,"G3",0.2243,4711,15909,3,"10^-3","Pp","Pp 10^-3"
1,"G4",0.2249,4753,16151,4,"10^-4","Pp","Pp 10^-4"
1,"G5",0.2277,4802,16246,5,"10^-5","Pp","Pp 10^-5"
1,"G6",0.2249,4718,15881,6,"10^-6","Pp","Pp 10^-6"
1,"G7",0.2259,4646,15799,7,"10^-2","Bs","Bs 10^-2"
1,"G8",0.2565,4676,16587,8,"10^-3","Bs","Bs 10^-3"
1,"G9",0.237,4693,16202,9,"10^-4","Bs","Bs 10^-4"
1,"G10",0.2297,4699,15987,10,"10^-5","Bs","Bs 10^-5"
1,"G11",0.2245,4705,15959,11,"10^-6","Bs","Bs 10^-6"
1,"G12",0.2259,4696,15812,12,"10^-7","Bs","Bs 10^-7"
1,"H1",0.2324,4909,16065,1,"10^-1","Pp","Pp 10^-1"
1,"H2",0.2256,4744,16010,2,"10^-2","Pp","Pp 10^-2"
1,"H3",0.2238,4748,15775,3,"10^-3","Pp","Pp 10^-3"
1,"H4",0.2241,4727,15898,4,"10^-4","Pp","Pp 10^-4"
1,"H5",0.2224,4681,15878,5,"10^-5","Pp","Pp 10^-5"
1,"H6",0.2277,4736,16011,6,"10^-6","Pp","Pp 10^-6"
1,"H7",0.2289,4745,16121,7,"10^-2","Bs","Bs 10^-2"
1,"H8",0.2588,4632,16659,8,"10^-3","Bs","Bs 10^-3"
1,"H9",0.2282,4666,15939,9,"10^-4","Bs","Bs 10^-4"
1,"H10",0.2235,4677,15631,10,"10^-5","Bs","Bs 10^-5"
1,"H11",0.2247,4646,15805,11,"10^-6","Bs","Bs 10^-6"
1,"H12",0.2271,4727,15960,12,"10^-7","Bs","Bs 10^-7"
2.00000166666667,"A1",0.2689,5061,15871,1,"10^-1","Pp","Pp 10^-1"
2.00000166666667,"A2",0.2228,4797,16113,2,"10^-2","Pp","Pp 10^-2"
2.00000166666667,"A3",0.2255,4795,16079,3,"10^-3","Pp","Pp 10^-3"
2.00000166666667,"A4",0.2256,4770,16133,4,"10^-4","Pp","Pp 10^-4"
2.00000166666667,"A5",0.2257,4784,16066,5,"10^-5","Pp","Pp 10^-5"
2.00000166666667,"A6",0.2215,4712,15874,6,"10^-6","Pp","Pp 10^-6"
2.00000166666667,"A7",0.2259,4756,16024,7,"10^-2","Bs","Bs 10^-2"
2.00000166666667,"A8",0.2817,4675,16951,8,"10^-3","Bs","Bs 10^-3"
2.00000166666667,"A9",0.2257,4734,15885,9,"10^-4","Bs","Bs 10^-4"
2.00000166666667,"A10",0.2299,4759,16164,10,"10^-5","Bs","Bs 10^-5"
2.00000166666667,"A11",0.227,4766,16182,11,"10^-6","Bs","Bs 10^-6"
2.00000166666667,"A12",0.2271,4801,15948,12,"10^-7","Bs","Bs 10^-7"
2.00000166666667,"B1",0.264,5142,16041,1,"10^-1","Pp","Pp 10^-1"
2.00000166666667,"B2",0.2388,4844,16177,2,"10^-2","Pp","Pp 10^-2"
2.00000166666667,"B3",0.2378,4823,16189,3,"10^-3","Pp","Pp 10^-3"
2.00000166666667,"B4",0.237,4803,16239,4,"10^-4","Pp","Pp 10^-4"
2.00000166666667,"B5",0.2308,4808,16097,5,"10^-5","Pp","Pp 10^-5"
2.00000166666667,"B6",0.2243,4797,15870,6,"10^-6","Pp","Pp 10^-6"
2.00000166666667,"B7",0.2326,4797,16280,7,"10^-2","Bs","Bs 10^-2"
2.00000166666667,"B8",0.2717,4739,17444,8,"10^-3","Bs","Bs 10^-3"
2.00000166666667,"B9",0.2299,4790,16212,9,"10^-4","Bs","Bs 10^-4"
2.00000166666667,"B10",0.2269,4747,16068,10,"10^-5","Bs","Bs 10^-5"
2.00000166666667,"B11",0.2278,4769,16057,11,"10^-6","Bs","Bs 10^-6"
2.00000166666667,"B12",0.2257,4768,16111,12,"10^-7","Bs","Bs 10^-7"
2.00000166666667,"C1",0.2594,5116,15956,1,"10^-1","Pp","Pp 10^-1"
2.00000166666667,"C2",0.2438,4790,16080,2,"10^-2","Pp","Pp 10^-2"
2.00000166666667,"C3",0.2427,4839,16084,3,"10^-3","Pp","Pp 10^-3"
2.00000166666667,"C4",0.2289,4809,15958,4,"10^-4","Pp","Pp 10^-4"
2.00000166666667,"C5",0.2341,4805,16054,5,"10^-5","Pp","Pp 10^-5"
2.00000166666667,"C6",0.2268,4782,16116,6,"10^-6","Pp","Pp 10^-6"
2.00000166666667,"C7",0.232,4796,16145,7,"10^-2","Bs","Bs 10^-2"
