"well","datetime","condition","wavelength","value","time"
"G...3",2026-04-24 16:07:00,"Pp","RFP85",3243,0
"H...3",2026-04-24 16:07:00,"M9","RFP85",2898,0
"A...4",2026-04-24 16:07:00,"Bs","RFP85",2941,0
"B...4",2026-04-24 16:07:00,"Bs+NI","RFP85",2913,0
"C...4",2026-04-24 16:07:00,"NI","RFP85",2926,0
"D...4",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",2933,0
"E...4",2026-04-24 16:07:00,"Bs+Pp","RFP85",2954,0
"F...4",2026-04-24 16:07:00,"Pp+NI","RFP85",2914,0
"G...4",2026-04-24 16:07:00,"Pp","RFP85",2965,0
"H...4",2026-04-24 16:07:00,"M9","RFP85",2901,0
"A...5",2026-04-24 16:07:00,"Bs","RFP85",2939,0
"B...5",2026-04-24 16:07:00,"Bs+NI","RFP85",2946,0
"C...5",2026-04-24 16:07:00,"NI","RFP85",3007,0
"D...5",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",3009,0
"E...5",2026-04-24 16:07:00,"Bs+Pp","RFP85",2949,0
"F...5",2026-04-24 16:07:00,"Pp+NI","RFP85",2912,0
"G...5",2026-04-24 16:07:00,"Pp","RFP85",2929,0
"H...5",2026-04-24 16:07:00,"M9","RFP85",2929,0
"A...6",2026-04-24 16:07:00,"Bs","RFP85",2989,0
"B...6",2026-04-24 16:07:00,"Bs+NI","RFP85",3029,0
"C...6",2026-04-24 16:07:00,"NI","RFP85",2965,0
"D...6",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",2952,0
"E...6",2026-04-24 16:07:00,"Bs+Pp","RFP85",2970,0
"F...6",2026-04-24 16:07:00,"Pp+NI","RFP85",2945,0
"G...6",2026-04-24 16:07:00,"Pp","RFP85",2937,0
"H...6",2026-04-24 16:07:00,"M9","RFP85",2990,0
"A...7",2026-04-24 16:07:00,"Bs","RFP85",2919,0
"B...7",2026-04-24 16:07:00,"Bs+NI","RFP85",2979,0
"C...7",2026-04-24 16:07:00,"NI","RFP85",2973,0
"D...7",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",2993,0
"E...7",2026-04-24 16:07:00,"Bs+Pp","RFP85",2974,0
"F...7",2026-04-24 16:07:00,"Pp+NI","RFP85",3002,0
"G...7",2026-04-24 16:07:00,"Pp","RFP85",2981,0
"H...7",2026-04-24 16:07:00,"M9","RFP85",2894,0
"A...8",2026-04-24 16:07:00,"Bs","RFP85",3219,0
"B...8",2026-04-24 16:07:00,"Bs+NI","RFP85",3088,0
"C...8",2026-04-24 16:07:00,"NI","RFP85",3051,0
"D...8",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",3651,0
"E...8",2026-04-24 16:07:00,"Bs+Pp","RFP85",2976,0
"F...8",2026-04-24 16:07:00,"Pp+NI","RFP85",2996,0
"G...8",2026-04-24 16:07:00,"Pp","RFP85",3151,0
"H...8",2026-04-24 16:07:00,"M9","RFP85",2964,0
"A...9",2026-04-24 16:07:00,"Bs","RFP85",3277,0
"B...9",2026-04-24 16:07:00,"Bs+NI","RFP85",3136,0
"C...9",2026-04-24 16:07:00,"NI","RFP85",3025,0
"D...9",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",3081,0
"E...9",2026-04-24 16:07:00,"Bs+Pp","RFP85",3069,0
"F...9",2026-04-24 16:07:00,"Pp+NI","RFP85",3040,0
"G...9",2026-04-24 16:07:00,"Pp","RFP85",3071,0
"H...9",2026-04-24 16:07:00,"M9","RFP85",3003,0
"A...10",2026-04-24 16:07:00,"Bs","RFP85",4705,0
"B...10",2026-04-24 16:07:00,"Bs+NI","RFP85",3328,0
"C...10",2026-04-24 16:07:00,"NI","RFP85",3008,0
"D...10",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",3225,0
"E...10",2026-04-24 16:07:00,"Bs+Pp","RFP85",3177,0
"F...10",2026-04-24 16:07:00,"Pp+NI","RFP85",3017,0
"G...10",2026-04-24 16:07:00,"Pp","RFP85",3229,0
"H...10",2026-04-24 16:07:00,"M9","RFP85",2980,0
"A...11",2026-04-24 16:07:00,"Bs","RFP85",10857,0
"B...11",2026-04-24 16:07:00,"Bs+NI","RFP85",14659,0
"C...11",2026-04-24 16:07:00,"NI","RFP85",7623,0
"D...11",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",3047,0
"E...11",2026-04-24 16:07:00,"Bs+Pp","RFP85",2996,0
"F...11",2026-04-24 16:07:00,"Pp+NI","RFP85",2978,0
"G...11",2026-04-24 16:07:00,"Pp","RFP85",3092,0
"H...11",2026-04-24 16:07:00,"M9","RFP85",2976,0
"A...12",2026-04-24 16:07:00,"Bs","RFP85",5879,0
"B...12",2026-04-24 16:07:00,"Bs+NI","RFP85",6603,0
"C...12",2026-04-24 16:07:00,"NI","RFP85",4521,0
"D...12",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",3356,0
"E...12",2026-04-24 16:07:00,"Bs+Pp","RFP85",2986,0
"F...12",2026-04-24 16:07:00,"Pp+NI","RFP85",2983,0
"G...12",2026-04-24 16:07:00,"Pp","RFP85",2835,0
"H...12",2026-04-24 16:07:00,"M9","RFP85",3056,0
"A...13",2026-04-24 16:07:00,"Bs","RFP85",5851,0
"B...13",2026-04-24 16:07:00,"Bs+NI","RFP85",3163,0
"C...13",2026-04-24 16:07:00,"NI","RFP85",3035,0
